DateTime,Energy_consumption_kwh
2014-01-01 00:00:00.0000000, 0.142 
2014-01-01 00:30:00.0000000, 0.141 
2014-01-01 01:00:00.0000000, 0.164 
2014-01-01 01:30:00.0000000, 0.159 
2014-01-01 02:00:00.0000000, 0.151 
2014-01-01 02:30:00.0000000, 0.128 
2014-01-01 03:00:00.0000000, 0.114 
2014-01-01 03:30:00.0000000, 0.073 
2014-01-01 04:00:00.0000000, 0.067 
2014-01-01 04:30:00.0000000, 0.045 
2014-01-01 05:00:00.0000000, 0.057 
2014-01-01 05:30:00.0000000, 0.074 
2014-01-01 06:00:00.0000000, 0.089 
2014-01-01 06:30:00.0000000, 0.078 
2014-01-01 07:00:00.0000000, 0.119 
2014-01-01 07:30:00.0000000, 0.083 
2014-01-01 08:00:00.0000000, 0.079 
2014-01-01 08:30:00.0000000, 0.104 
2014-01-01 09:00:00.0000000, 0.06 
2014-01-01 09:30:00.0000000, 0.033 
2014-01-01 10:00:00.0000000, 0.222 
2014-01-01 10:30:00.0000000, 0.085 
2014-01-01 11:00:00.0000000, 0.109 
2014-01-01 11:30:00.0000000, 0.097 
2014-01-01 12:00:00.0000000, 0.085 
2014-01-01 12:30:00.0000000, 0.052 
2014-01-01 13:00:00.0000000, 0.067 
2014-01-01 13:30:00.0000000, 0.032 
2014-01-01 14:00:00.0000000, 0.056 
2014-01-01 14:30:00.0000000, 0.079 
2014-01-01 15:00:00.0000000, 0.057 
2014-01-01 15:30:00.0000000, 0.053 
2014-01-01 16:00:00.0000000, 0.098 
2014-01-01 16:30:00.0000000, 0.058 
2014-01-01 17:00:00.0000000, 0.084 
2014-01-01 17:30:00.0000000, 0.119 
2014-01-01 18:00:00.0000000, 0.111 
2014-01-01 18:30:00.0000000, 0.093 
2014-01-01 19:00:00.0000000, 0.116 
2014-01-01 19:30:00.0000000, 0.105 
2014-01-01 20:00:00.0000000, 0.099 
2014-01-01 20:30:00.0000000, 0.115 
2014-01-01 21:00:00.0000000, 0.089 
2014-01-01 21:30:00.0000000, 0.068 
2014-01-01 22:00:00.0000000, 0.078 
2014-01-01 22:30:00.0000000, 0.179 
2014-01-01 23:00:00.0000000, 0.232 
2014-01-01 23:30:00.0000000, 0.282 
2014-01-02 00:00:00.0000000, 0.26 
2014-01-02 00:30:00.0000000, 0.248 
2014-01-02 01:00:00.0000000, 0.289 
2014-01-02 01:30:00.0000000, 0.261 
2014-01-02 02:00:00.0000000, 0.249 
2014-01-02 02:30:00.0000000, 0.285 
2014-01-02 03:00:00.0000000, 0.198 
2014-01-02 03:30:00.0000000, 0.183 
2014-01-02 04:00:00.0000000, 0.217 
2014-01-02 04:30:00.0000000, 0.201 
2014-01-02 05:00:00.0000000, 0.186 
2014-01-02 05:30:00.0000000, 0.215 
2014-01-02 06:00:00.0000000, 0.244 
2014-01-02 06:30:00.0000000, 0.218 
